,days,prices_usd,volumes_usd,prices_delta,prices_delta_sign,volumes_delta,volumes_delta_sign
236,237,292.60219240778787,1249488.3067321936,3.227314056254329,1,281561.746210602,1
237,238,292.83006723970874,2009781.2875507558,0.22787483192087166,1,760292.9808185622,1
238,239,295.8108478922838,1595853.7565571708,2.9807806525750493,1,-413927.530993585,-1
239,240,290.93623158169567,1478290.692248684,-4.874616310588124,-1,-117563.06430848688,-1
240,241,288.6569308101685,1476077.0592393463,-2.2793007715271756,-1,-2213.6330093375873,-1
241,242,285.12170650566986,1588278.1826522506,-3.5352243044986267,-1,112201.12341290433,1
242,243,280.5251078758083,1059003.5959818603,-4.596598629861546,-1,-529274.5866703903,-1
243,244,280.9522159202048,1028706.9179981274,0.42710804439650474,1,-30296.677983732894,-1
244,245,283.42966075156335,1524343.1269313176,2.4774448313585253,1,495636.2089331902,1
245,246,285.0925133282579,1505502.1588750766,1.6628525766945472,1,-18840.96805624105,-1
246,247,283.0239540274307,1558872.8845433267,-2.0685593008271894,-1,53370.72566825012,1
247,248,279.6293338856679,1471376.8518419652,-3.3946201417628004,-1,-87496.03270136146,-1
248,249,279.63651426546,1310903.3070857537,0.0071803797920892976,1,-160473.54475621157,-1
249,250,268.8176377083586,1826695.453789512,-10.818876557101419,-1,515792.1467037583,1
250,251,266.31161691894175,1304151.878891481,-2.506020789416823,-1,-522543.57489803084,-1
251,252,265.37056127982635,1446664.2253184363,-0.9410556391154046,-1,142512.3464269552,1
252,253,268.02883331309766,1591423.1680282801,2.6582720332713166,1,144758.94270984386,1
253,254,268.41424103468523,1599070.9074861729,0.3854077215875691,1,7647.73945789272,1
254,255,264.89037529017423,1399781.4427465477,-3.5238657445109993,-1,-199289.4647396251,-1
255,256,266.2837755390263,1793420.497106839,1.3934002488520605,1,393639.0543602912,1
256,257,265.37872485868263,1125856.0458401833,-0.9050506803436633,-1,-667564.4512666557,-1
257,258,259.45155788946994,1428292.562171888,-5.927166969212692,-1,302436.5163317048,1
258,259,258.0008583747079,1846681.6193943282,-1.45069951476205,-1,418389.05722244014,1
259,260,247.8159565396805,3477687.6026664823,-10.184901835027375,-1,1631005.9832721541,1
260,261,231.64250068113853,2636135.2216842556,-16.173455858541985,-1,-841552.3809822267,-1
261,262,234.76932435848656,2029552.4222752622,3.1268236773480282,1,-606582.7994089935,-1
262,263,234.28420265942503,1829240.8825976218,-0.4851216990615228,-1,-200311.53967764042,-1
263,264,229.46974373707152,1577934.2542851258,-4.814458922353509,-1,-251306.628312496,-1
264,265,229.1695883329061,1213223.5344587457,-0.3001554041654231,-1,-364710.71982638,-1
